base_file,original_filename,type,materials,objects,colors,orientation,canonical_for,allowed_edits,do_not_use_for,notes,asset_id,image_path,sha256,source_role,approval_status,provenance_source,material_tags,finish_tags
Split AC (grey).png,Category Icon_Premium AC cleaning Dubai 1.png,appliance,matte-plastic-glass,split-ac-grey,grey-silver,front-near-orthographic,Split AC (grey);split ac;air conditioner;ac repair,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-9181434dc77f98b7,references/archive/PNGs_renamed/Premium AC cleaning (Dubai).png,9181434dc77f98b78b74429ab1560187eb0c21355e4a8b7136a69fc2371cf810,editable_base,existing_curated,bundled_uc_icon_archive,plastic;glass,matte
Split AC (white).png,HS_ Appliance & AC repair_India 1.png,appliance,matte-plastic-glossy-display,split-ac-white,white-blue,front-near-orthographic,Split AC (white);split ac;air conditioner;ac repair,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-910871e2c3ca39ab,references/archive/PNGs_renamed/Appliance & AC repair (India).png,910871e2c3ca39ab2929f055779d34c0acd69e7a7ef704ca0ffa05e7ffe9a16b,editable_base,existing_curated,bundled_uc_icon_archive,plastic,matte;glossy
Television.png,Category icon_TV Repair 1.png,appliance,matte-plastic-glass-chrome,television,black-silver,front-near-orthographic,Television,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-6277f693b9c70359,references/archive/PNGs_renamed/TV repair.png,6277f693b9c703599d578dac0f697a83b845474b7c123132bb2a8957aaf9dff4,editable_base,existing_curated,bundled_uc_icon_archive,plastic;glass;chrome,matte
Termite (prohibition).png,Category icon_Ant control-1 1.png,composite,matte-chitin,termite-prohibition,tan-red-brown,front-near-orthographic,Termite (prohibition),recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-8274614d48d7c997,references/archive/PNGs_renamed/Termite control.png,8274614d48d7c9974349345fb93e035e3cc896b9f506c2b4c623aff221943e25,editable_base,existing_curated,bundled_uc_icon_archive,chitin,matte
Toilet with plunger.png,"Curtains, Dubai-2.png",composite,ceramic-glossy-red-plastic,toilet-with-plunger,white-red-black,front-slight-top,Toilet with plunger,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-da1bbcbc165736ca,references/archive/PNGs_renamed/Toilet unclogging (Dubai) [filed as Curtains].png,da1bbcbc165736ca1180f159df34fc85d7f5ae7efba0db1de915d38f3aa687fa,editable_base,existing_curated,bundled_uc_icon_archive,ceramic;plastic,glossy
Toilet.png,Category icon_Bathroom cleaning Dubai 1.png,object,glossy-ceramic,toilet,white,front-slight-top,Toilet,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-73a2398a657b1138,references/archive/PNGs_renamed/Bathroom cleaning (Dubai).png,73a2398a657b1138858b7613a8fef4738c9ea526242e23187497c3d3a4725d1e,editable_base,existing_curated,bundled_uc_icon_archive,ceramic,glossy
Toolbox with wrench.png,Category Icon_Handymen Dubai 1.png,composite,matte-plastic-metal,toolbox-with-wrench,red-white,front-slight-top,Toolbox with wrench,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-204c15a60f0879da,references/archive/PNGs_renamed/Handymen (Dubai).png,204c15a60f0879da4bef02ba66cabc45569a6410a2a1957f94afb5f813dffc85,editable_base,existing_curated,bundled_uc_icon_archive,plastic;metal,matte
UAE Maid bust with house.png,Live-in Dubai 1.png,composite,stylized-3d-render,woman-bust-house-model,brown-blue-yellow-terracotta,unknown,UAE Maid bust with house,unknown,unknown,Existing curated source restored to the index. Orientation and edit constraints have not been separately reviewed; preserve the source and apply the character edit guide when applicable.,uc-icon-02cf301d8752fe58,references/archive/PNGs_renamed/Live-in help (Dubai).png,02cf301d8752fe581e056deb0a78c0fd9d58a9beea8465af18f50c0ccb940097,editable_base,existing_curated,bundled_uc_icon_archive,unknown,unknown
Vacuum cleaner.png,HS_Cleaning & pest control _India 1.png,appliance,matte-plastic-rubber,vacuum-cleaner,red-black,front-near-orthographic,Vacuum cleaner,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-d2805d23b140c548,references/archive/PNGs_renamed/Cleaning & pest control (India).png,d2805d23b140c548ee2a1d744d958189682d3e0d7f47bacda716dc6d68b5943f,editable_base,existing_curated,bundled_uc_icon_archive,plastic;rubber,matte
Wall panel swatches.png,Wall panels 1.png,material,wood-marble-fluted-plaster,wall-panel-swatches,brown-grey-blush,side-horizontal,Wall panel swatches,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-f9d9e90ef2981fda,references/archive/PNGs_renamed/Wall panels.png,f9d9e90ef2981fdadbeeac9181d53151eb5582b73054f60c58dfe2ca52b2b685,editable_base,existing_curated,bundled_uc_icon_archive,wood;marble;plaster,fluted
Washing machine.png,Category icon_Washing machine repair 1.png,appliance,matte-plastic-glass,washing-machine,grey-silver,front-near-orthographic,Washing machine,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-0fa5aefb193db7d0,references/archive/PNGs_renamed/Washing machine repair.png,0fa5aefb193db7d0a3bc12556f1d20b52f801fe9d80ba78ff201c20d47b26653,editable_base,existing_curated,bundled_uc_icon_archive,plastic;glass,matte
Water heater (geyser).png,Category icon_Geyser 1.png,appliance,brushed-steel-plastic,water-heater-geyser,white-silver-red-green,front-near-orthographic,Water heater (geyser),recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-5cc1defbfa2f8597,references/archive/PNGs_renamed/Geyser.png,5cc1defbfa2f8597345e74ea508e52af9d67e4ce366f301ace9783eeea39c049,editable_base,existing_curated,bundled_uc_icon_archive,steel;plastic,brushed
"Woman bust (helper, blue apron).png",HS_All in one help_Dubai-1 1.png,human,matte-cotton-skin,woman-bust-helper-blue-apron,blue-yellow-brown,front-bust,"Woman bust (helper, blue apron);helper;maid;cleaner;house help",add/swap wardrobe;add/swap headwear;add one service cue;recolor clothing,object-only icon;non-human object,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-7de24967372dea1a,references/archive/PNGs_renamed/All in one help (Dubai).png,7de24967372dea1aa792be942b99b724912513df89b6ebabfb5a2cef2ad3e587,editable_base,existing_curated,bundled_uc_icon_archive,cotton;skin,matte
"Woman bust (helper, purple).png",HS_Insta help_India 1.png,human,matte-cotton-skin,woman-bust-helper-purple,purple-white-brown,front-bust,"Woman bust (helper, purple);helper;maid;cleaner;house help",add/swap wardrobe;add/swap headwear;add one service cue;recolor clothing,object-only icon;non-human object,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-55f8e229c6eb7fe6,references/archive/PNGs_renamed/Insta help (India).png,55f8e229c6eb7fe6d7007b8d66b82611c89a201d9cfefe709f0b9dba0b27f6de,editable_base,existing_curated,bundled_uc_icon_archive,cotton;skin,matte
"Woman bust (spa, face mask).png",HS_Women's salon & spa_Dubai 1.png,human,stylized-render-terrycloth,woman-bust-spa-face-mask,green-cream-skintone,front-bust,"Woman bust (spa, face mask)",add/swap wardrobe;add/swap headwear;add one service cue;recolor clothing,object-only icon;non-human object,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-2c25b1cb7fdc91c2,references/archive/PNGs_renamed/Womens salon & spa (Dubai).png,2c25b1cb7fdc91c23ef3b08d87948b6a13ad08645906b4e015d1877fc853d484,editable_base,existing_curated,bundled_uc_icon_archive,unknown,unknown
"Woman bust (spa, sparkles).png",HS_Luxury Women's salon & spa_Dubai 1.png,human,matte-cotton-skin,woman-bust-spa-sparkles,white-green-yellow,front-bust,"Woman bust (spa, sparkles)",add/swap wardrobe;add/swap headwear;add one service cue;recolor clothing,object-only icon;non-human object,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-6211052da83ced6b,references/archive/PNGs_renamed/Luxury Womens salon & spa (Dubai).png,6211052da83ced6b3267fc908cc5fe0529b448dcb68ec8170289990f4baec959,editable_base,existing_curated,bundled_uc_icon_archive,cotton;skin,matte
Woman face (eyes closed).png,Female eyes close.png,human,stylized-3d-render-skin,woman-face-eyes-closed,skintone-brown,front-bust,Woman face (eyes closed);female eyes closed;woman eyes closed;female spa closed eyes;woman spa closed eyes,add/swap wardrobe;add/swap headwear;add one service cue;recolor clothing,object-only icon;non-human object,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-3261a505e93a54e8,references/archive/PNGs_renamed/Avatar base - female (eyes closed).png,3261a505e93a54e86f446c1dd145dcef3147e0cfaabcbd5cd16fc514c71e0671,editable_base,existing_curated,bundled_uc_icon_archive,skin,unknown
Woman face (eyes open).png,Female eyes open.png,human,stylized-3d-render-skin,woman-face-eyes-open,skintone-brown,front-bust,Woman face (eyes open);female base;female eyes open;woman base;female character;female chef;female cook;woman chef;maid;helper woman,add/swap wardrobe;add/swap headwear;add one service cue;recolor clothing,object-only icon;non-human object,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-d4fae5396b6e3368,references/archive/PNGs_renamed/Avatar base - female (eyes open).png,d4fae5396b6e3368a45dd3924e7cb3d80b741a03dab1b009badcaebf22316526,editable_base,existing_curated,bundled_uc_icon_archive,skin,unknown
Woven basket with spray bottle.png,Premium Cleaning 1.png,composite,woven-rope-glossy-plastic-microfiber,woven-basket-with-spray-bottle,cream-amber-tan,front-slight-top,Woven basket with spray bottle,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-4f1cbfc40fbb0f84,references/archive/PNGs_renamed/Premium cleaning.png,4f1cbfc40fbb0f849a00e72ddb8d26e00b28d4c260037d42269609cb8d05ef55,editable_base,existing_curated,bundled_uc_icon_archive,rope;plastic;microfiber,woven;glossy
Wrench & screwdriver (crossed).png,"HS_Electrician, plumber &  carpenter _India 1.png",tool,matte-steel-plastic,wrench-screwdriver-crossed,silver-red-blue,front-near-orthographic,Wrench & screwdriver (crossed),recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-638305825a735c82,"references/archive/PNGs_renamed/Electrician, plumber & carpenter (India).png",638305825a735c82a164e1149ce86c2522bf3d6d4ec56882548c63c621f564bf,editable_base,existing_curated,bundled_uc_icon_archive,steel;plastic,matte
